supplier_id,tier,risk_score,yield_pct,volatility,esg_score,trade_volume
EU_BMW_001,1,22.5,4.8,12.0,88.0,500000
EU_BASF_002,1,15.2,3.2,8.5,92.0,800000
ASIA_CHIP_003,2,65.8,12.5,35.0,42.0,200000
EU_STEEL_004,2,42.0,6.5,18.0,65.0,400000
EU_LOGI_005,1,38.5,5.2,15.0,78.0,600000
ASIA_BAT_006,2,72.4,14.8,42.0,38.0,300000
EU_RUBR_007,2,45.0,7.2,20.0,62.0,350000
EU_GLASS_008,2,28.4,4.5,10.0,85.0,450000
ASIA_SENS_009,3,85.0,18.5,55.0,25.0,150000
EU_PACK_010,1,18.0,3.5,7.0,95.0,700000
EU_MACH_011,2,55.2,8.4,25.0,58.0,300000
EU_PRINT_012,2,32.0,4.8,11.0,82.0,400000
ASIA_CAB_013,3,78.5,15.2,45.0,30.0,250000
EU_CHEM_014,1,28.0,4.2,13.0,85.0,550000
EU_TOOL_015,2,48.5,7.8,22.0,60.0,320000
